Player,Stat,25th Percentile,50th Percentile (Median),75th Percentile
Brad Marchand,Goals,25.0,28.0,32.0
Brad Marchand,Assists,35.0,39.0,44.25
Brad Marchand,Points,62.0,67.5,73.0
David Pastrnak,Goals,37.0,40.0,44.0
David Pastrnak,Assists,40.0,45.0,49.25
David Pastrnak,Points,79.0,85.0,91.0
Elias Lindholm,Goals,22.0,26.0,29.25
Elias Lindholm,Assists,34.0,37.0,42.0
Elias Lindholm,Points,58.0,64.0,68.0
Charlie Coyle,Goals,19.0,22.0,26.0
Charlie Coyle,Assists,23.75,26.0,30.25
Charlie Coyle,Points,45.0,50.0,55.0
Pavel Zacha,Goals,17.0,19.0,22.25
Pavel Zacha,Assists,26.75,30.0,33.0
Pavel Zacha,Points,46.0,49.0,56.0
Trent Frederic,Goals,18.0,20.0,23.0
Trent Frederic,Assists,24.0,28.0,32.0
Trent Frederic,Points,43.0,49.0,52.0
Morgan Geekie,Goals,10.0,12.0,15.0
Morgan Geekie,Assists,20.75,24.0,26.0
Morgan Geekie,Points,32.0,36.0,41.0
John Beecher,Goals,11.75,14.0,16.0
John Beecher,Assists,9.0,12.0,14.0
John Beecher,Points,22.0,25.0,29.25
Mark Kastelic,Goals,6.75,8.5,11.0
Mark Kastelic,Assists,8.0,10.0,11.0
Mark Kastelic,Points,16.0,19.0,21.0
Patrick Brown,Goals,4.0,5.0,7.0
Patrick Brown,Assists,6.0,8.0,10.0
Patrick Brown,Points,12.0,13.5,16.0
Justin Brazeau,Goals,8.0,11.0,12.0
Justin Brazeau,Assists,7.0,9.0,11.0
Justin Brazeau,Points,17.0,19.0,21.0
Max Jones,Goals,2.0,4.0,5.0
Max Jones,Assists,12.0,14.0,16.0
Max Jones,Points,15.0,18.0,20.0
Charlie McAvoy,Goals,11.0,13.0,16.0
Charlie McAvoy,Assists,31.75,36.0,39.0
Charlie McAvoy,Points,45.0,49.0,53.0
Hampus Lindholm,Goals,3.0,4.0,5.0
Hampus Lindholm,Assists,21.0,24.0,27.0
Hampus Lindholm,Points,25.0,28.0,31.0
Brandon Carlo,Goals,1.0,2.0,3.0
Brandon Carlo,Assists,15.0,17.0,20.0
Brandon Carlo,Points,17.0,20.0,23.0
Nikita Zadorov,Goals,2.0,3.0,4.0
Nikita Zadorov,Assists,15.0,17.0,20.0
Nikita Zadorov,Points,18.0,20.0,24.0
Andrew Peeke,Goals,0.0,1.0,1.0
Andrew Peeke,Assists,8.0,10.0,12.0
Andrew Peeke,Points,9.0,11.0,13.0
Mason Lohrei,Goals,0.0,1.0,2.0
Mason Lohrei,Assists,5.0,7.0,8.0
Mason Lohrei,Points,5.0,8.0,10.0
Parker Wotherspoon,Goals,0.0,0.0,1.0
Parker Wotherspoon,Assists,0.0,1.0,2.0
Parker Wotherspoon,Points,1.0,2.0,2.0
Tage Thompson,Goals,33.0,38.0,42.0
Tage Thompson,Assists,32.0,36.0,42.0
Tage Thompson,Points,67.75,74.0,81.0
Alex Tuch,Goals,24.75,27.0,30.0
Alex Tuch,Assists,40.0,44.0,49.0
Alex Tuch,Points,66.0,71.5,78.0
JJ Peterka,Goals,26.75,29.0,33.25
JJ Peterka,Assists,28.0,32.0,36.0
JJ Peterka,Points,57.0,62.0,69.0
Dylan Cozens,Goals,16.0,19.0,22.0
Dylan Cozens,Assists,25.0,29.0,33.0
Dylan Cozens,Points,43.0,48.0,53.0
Jack Quinn,Goals,19.0,23.0,25.25
Jack Quinn,Assists,25.0,29.0,32.0
Jack Quinn,Points,46.0,51.5,56.0
Jason Zucker,Goals,19.0,21.0,23.0
Jason Zucker,Assists,23.0,25.5,29.25
Jason Zucker,Points,42.0,46.0,50.25
Jordan Greenway,Goals,6.0,7.0,9.0
Jordan Greenway,Assists,9.0,11.0,14.0
Jordan Greenway,Points,16.0,19.0,22.0
Zach Benson,Goals,7.0,10.0,12.0
Zach Benson,Assists,20.75,23.0,26.25
Zach Benson,Points,29.0,33.5,36.0
Ryan McLeod,Goals,10.0,12.5,15.0
Ryan McLeod,Assists,19.0,22.0,27.0
Ryan McLeod,Points,31.0,35.0,39.0
Sam Lafferty,Goals,9.0,11.0,13.0
Sam Lafferty,Assists,6.0,9.0,10.0
Sam Lafferty,Points,16.0,20.0,23.0
Nicolas Aube-Kubel,Goals,5.0,7.0,8.0
Nicolas Aube-Kubel,Assists,9.0,11.0,13.0
Nicolas Aube-Kubel,Points,15.0,18.0,21.0
Beck Malenstyn,Goals,4.0,6.0,8.0
Beck Malenstyn,Assists,6.0,8.0,10.0
Beck Malenstyn,Points,11.0,14.0,17.0
Peyton Krebs,Goals,0.0,0.0,1.0
Peyton Krebs,Assists,1.0,1.0,2.0
Peyton Krebs,Points,1.0,2.0,3.0
Rasmus Dahlin,Goals,14.0,16.0,20.25
Rasmus Dahlin,Assists,31.0,35.0,39.0
Rasmus Dahlin,Points,47.75,52.0,57.0
Owen Power,Goals,2.0,4.0,5.25
Owen Power,Assists,17.0,21.0,23.25
Owen Power,Points,20.75,24.0,28.0
Bowen Byram,Goals,3.0,4.0,5.0
Bowen Byram,Assists,14.0,18.0,21.0
Bowen Byram,Points,18.0,22.0,26.0
Henri Jokijarju,Goals,0.75,1.0,2.0
Henri Jokijarju,Assists,13.0,15.0,18.0
Henri Jokijarju,Points,14.75,17.0,19.25
Connor Clifton,Goals,0.0,1.0,1.0
Connor Clifton,Assists,10.0,13.0,15.0
Connor Clifton,Points,11.0,14.0,17.0
Mattias Samuelsson,Goals,0.0,0.0,1.0
Mattias Samuelsson,Assists,5.75,7.0,9.0
Mattias Samuelsson,Points,6.0,7.0,9.0
Jacob Bryson,Goals,0.0,1.0,1.0
Jacob Bryson,Assists,1.0,2.0,4.0
Jacob Bryson,Points,2.0,3.0,4.25
Dylan Larkin,Goals,27.0,30.0,34.0
Dylan Larkin,Assists,34.0,39.0,43.0
Dylan Larkin,Points,64.0,69.0,75.0
Lucas Raymond,Goals,24.0,28.0,32.0
Lucas Raymond,Assists,23.0,27.0,30.25
Lucas Raymond,Points,50.75,57.0,60.25
Alex DeBrincat,Goals,23.0,25.5,29.25
Alex DeBrincat,Assists,30.0,34.0,39.0
Alex DeBrincat,Points,55.0,59.5,66.0
Patrick Kane,Goals,20.0,22.5,26.0
Patrick Kane,Assists,25.0,29.0,32.0
Patrick Kane,Points,47.75,52.0,56.0
JT Compher,Goals,16.0,19.0,24.0
JT Compher,Assists,22.75,26.0,29.25
JT Compher,Points,40.75,45.0,51.5
Vladimir Tarasenko,Goals,18.0,21.0,25.0
Vladimir Tarasenko,Assists,25.0,28.5,32.25
Vladimir Tarasenko,Points,45.75,51.0,54.0
Andrew Copp,Goals,6.0,8.0,10.0
Andrew Copp,Assists,16.0,18.0,21.0
Andrew Copp,Points,23.0,27.0,30.0
Michael Rasmussen,Goals,7.0,9.5,12.0
Michael Rasmussen,Assists,19.0,22.0,26.0
Michael Rasmussen,Points,27.75,31.0,36.0
Jonatan Berggren,Goals,11.0,13.5,16.25
Jonatan Berggren,Assists,16.75,19.0,21.0
Jonatan Berggren,Points,29.0,33.5,37.0
Joe Veleno,Goals,6.75,9.0,10.0
Joe Veleno,Assists,6.75,8.0,9.0
Joe Veleno,Points,13.75,17.0,19.0
Christian Fischer,Goals,4.0,5.0,7.0
Christian Fischer,Assists,9.0,10.0,13.0
Christian Fischer,Points,14.0,16.0,19.0
Tyler Motte,Goals,4.0,5.0,7.0
Tyler Motte,Assists,8.0,10.0,12.0
Tyler Motte,Points,13.0,15.0,18.0
Austin Watson,Goals,4.0,5.5,7.0
Austin Watson,Assists,3.0,5.0,7.0
Austin Watson,Points,8.0,11.0,13.25
Moritz Seider,Goals,8.0,10.0,13.0
Moritz Seider,Assists,26.0,29.0,32.0
Moritz Seider,Points,35.0,38.5,43.0
Ben Chiarot,Goals,4.0,5.0,7.0
Ben Chiarot,Assists,16.0,20.0,23.0
Ben Chiarot,Points,21.0,25.0,28.0
Jeff Petry,Goals,1.0,2.0,3.0
Jeff Petry,Assists,15.0,17.0,20.0
Jeff Petry,Points,17.0,19.0,23.0
Simon Edvinsson,Goals,1.0,2.0,3.0
Simon Edvinsson,Assists,10.75,12.0,14.0
Simon Edvinsson,Points,13.0,15.0,17.25
Erik Gustafsson,Goals,1.0,1.0,2.0
Erik Gustafsson,Assists,12.0,14.0,17.0
Erik Gustafsson,Points,13.0,15.0,18.0
Olli Maatta,Goals,1.0,1.0,2.0
Olli Maatta,Assists,7.0,9.0,11.0
Olli Maatta,Points,8.0,11.0,13.0
Justin Holl,Goals,0.0,0.0,1.0
Justin Holl,Assists,0.75,1.0,2.0
Justin Holl,Points,1.0,2.0,3.0
Matthew Tkachuk,Goals,25.75,28.0,33.0
Matthew Tkachuk,Assists,46.0,49.0,55.0
Matthew Tkachuk,Points,73.0,78.0,84.0
Aleksander Barkov,Goals,31.0,34.0,37.0
Aleksander Barkov,Assists,41.75,46.0,52.0
Aleksander Barkov,Points,75.75,80.0,85.0
Sam Reinhart,Goals,42.75,47.0,51.0
Sam Reinhart,Assists,33.0,36.0,40.0
Sam Reinhart,Points,77.0,84.0,90.0
Sam Bennett,Goals,18.0,21.0,24.0
Sam Bennett,Assists,28.0,31.0,34.0
Sam Bennett,Points,48.75,52.5,56.25
Carter Verhaeghe,Goals,26.0,30.0,33.0
Carter Verhaeghe,Assists,26.0,30.0,34.0
Carter Verhaeghe,Points,55.0,59.0,65.25
Evan Rodrigues,Goals,7.0,10.0,11.25
Evan Rodrigues,Assists,25.0,27.0,32.0
Evan Rodrigues,Points,33.0,37.0,41.25
Eetu Luostarainen,Goals,9.0,12.0,14.0
Eetu Luostarainen,Assists,14.0,17.0,21.0
Eetu Luostarainen,Points,25.0,29.0,33.25
Jonah Gadjovich,Goals,4.75,6.0,8.0
Jonah Gadjovich,Assists,11.0,13.0,15.0
Jonah Gadjovich,Points,17.0,19.0,22.25
Anton Lundell,Goals,6.0,8.0,10.0
Anton Lundell,Assists,14.0,17.0,20.0
Anton Lundell,Points,22.0,26.0,29.0
Jesper Boqvist,Goals,10.0,12.0,15.0
Jesper Boqvist,Assists,10.0,12.5,15.0
Jesper Boqvist,Points,22.0,25.0,29.0
AJ Greer,Goals,6.0,7.0,9.0
AJ Greer,Assists,7.0,9.0,11.0
AJ Greer,Points,13.0,16.0,19.0
Tomas Nosek,Goals,3.0,4.0,6.25
Tomas Nosek,Assists,10.0,12.0,14.0
Tomas Nosek,Points,15.0,17.0,19.0
Aaron Ekblad,Goals,8.0,10.0,11.0
Aaron Ekblad,Assists,21.75,25.0,28.0
Aaron Ekblad,Points,30.0,35.0,38.0
Gustav Forsling,Goals,8.75,10.0,12.0
Gustav Forsling,Assists,28.0,31.0,35.0
Gustav Forsling,Points,37.0,42.0,46.0
Dimitry Kulikov,Goals,0.0,1.5,2.0
Dimitry Kulikov,Assists,15.75,19.0,23.0
Dimitry Kulikov,Points,17.0,21.0,25.0
Niko Mikkola,Goals,0.75,1.0,2.0
Niko Mikkola,Assists,8.0,10.0,13.0
Niko Mikkola,Points,9.0,12.0,14.0
Nate Schmidt,Goals,0.0,1.0,2.0
Nate Schmidt,Assists,6.0,8.0,10.0
Nate Schmidt,Points,7.0,10.0,12.0
Adam Boqvist,Goals,1.0,2.0,3.0
Adam Boqvist,Assists,8.0,9.0,11.25
Adam Boqvist,Points,9.0,11.0,13.0
Uvis Balinskis,Goals,0.0,1.0,1.0
Uvis Balinskis,Assists,1.0,1.0,2.0
Uvis Balinskis,Points,1.75,2.0,3.0
Tobias Bjornfoot,Goals,0.0,1.0,1.0
Tobias Bjornfoot,Assists,1.0,2.0,2.0
Tobias Bjornfoot,Points,1.0,2.0,3.0
John Ludvig,Goals,0.0,1.0,2.0
John Ludvig,Assists,1.0,2.0,3.0
John Ludvig,Points,2.0,3.0,4.0
Nick Suzuki,Goals,29.75,34.0,38.0
Nick Suzuki,Assists,32.75,35.0,39.25
Nick Suzuki,Points,65.0,69.0,75.0
Cole Caufield,Goals,29.0,32.0,35.25
Cole Caufield,Assists,27.0,30.0,34.0
Cole Caufield,Points,57.0,63.0,67.25
Juraj Slafkovsky,Goals,24.0,27.5,31.0
Juraj Slafkovsky,Assists,19.0,21.0,25.0
Juraj Slafkovsky,Points,44.0,49.0,53.0
Patrik Laine,Goals,1.0,2.0,3.0
Patrik Laine,Assists,2.0,3.0,4.0
Patrik Laine,Points,4.0,5.0,6.0
Kriby Dach,Goals,15.0,19.0,23.0
Kriby Dach,Assists,13.75,17.0,20.0
Kriby Dach,Points,30.0,36.0,40.0
Alex Newhook,Goals,19.0,22.0,26.25
Alex Newhook,Assists,24.0,27.0,30.25
Alex Newhook,Points,46.0,49.5,55.0
Josh Anderson,Goals,3.0,5.0,7.0
Josh Anderson,Assists,11.0,14.0,17.0
Josh Anderson,Points,16.0,19.0,22.0
Christian Dvorak,Goals,6.0,8.0,10.0
Christian Dvorak,Assists,12.75,15.0,18.0
Christian Dvorak,Points,21.0,24.0,27.25
Rafael Harvey-Pinard,Goals,7.0,9.0,11.0
Rafael Harvey-Pinard,Assists,18.0,21.0,24.0
Rafael Harvey-Pinard,Points,25.75,29.0,34.0
Brendan Gallagher,Goals,3.0,4.0,6.0
Brendan Gallagher,Assists,14.0,17.0,20.0
Brendan Gallagher,Points,18.0,21.5,24.0
Joel Armia,Goals,19.0,22.0,24.0
Joel Armia,Assists,15.0,18.0,20.25
Joel Armia,Points,36.0,40.0,43.0
Jake Evans,Goals,5.0,6.0,8.0
Jake Evans,Assists,14.0,18.0,20.0
Jake Evans,Points,20.0,23.0,27.0
Joshua Roy,Goals,8.0,10.0,12.0
Joshua Roy,Assists,13.0,17.0,19.0
Joshua Roy,Points,22.0,27.0,31.0
Michael Pezzetta,Goals,0.0,1.0,2.0
Michael Pezzetta,Assists,1.0,3.0,4.0
Michael Pezzetta,Points,2.0,4.0,5.0
Mike Matheson,Goals,13.0,16.0,18.0
Mike Matheson,Assists,32.75,37.0,40.0
Mike Matheson,Points,47.75,52.0,56.0
David Savard,Goals,4.0,5.0,6.0
David Savard,Assists,18.0,22.0,26.25
David Savard,Points,22.0,27.0,31.0
Kaiden Guhle,Goals,2.0,3.0,4.0
Kaiden Guhle,Assists,18.0,22.0,25.0
Kaiden Guhle,Points,22.0,25.0,29.0
Justin Barron,Goals,2.0,3.0,4.0
Justin Barron,Assists,18.0,20.0,23.0
Justin Barron,Points,21.0,24.0,26.0
Lane Hutson,Goals,0.0,1.0,2.0
Lane Hutson,Assists,8.0,9.0,11.0
Lane Hutson,Points,9.0,10.5,12.25
Arber Xhekaj,Goals,0.75,1.0,2.0
Arber Xhekaj,Assists,9.0,12.0,14.0
Arber Xhekaj,Points,10.0,13.0,16.0
Tim Stuetzle,Goals,23.0,27.0,30.0
Tim Stuetzle,Assists,33.0,37.5,43.0
Tim Stuetzle,Points,58.0,65.0,72.0
Claude Giroux,Goals,30.0,34.0,37.0
Claude Giroux,Assists,34.0,38.0,42.0
Claude Giroux,Points,65.75,70.0,77.0
Brady Tkachuk,Goals,22.0,26.0,30.0
Brady Tkachuk,Assists,44.0,48.5,55.0
Brady Tkachuk,Points,69.75,75.0,83.0
Drake Batherson,Goals,20.0,23.5,27.0
Drake Batherson,Assists,28.0,31.0,35.25
Drake Batherson,Points,51.0,55.0,59.25
Shane Pinto,Goals,7.0,8.0,10.0
Shane Pinto,Assists,21.0,24.0,27.25
Shane Pinto,Points,28.0,33.0,36.0
Josh Norris,Goals,27.0,31.0,35.0
Josh Norris,Assists,9.0,11.0,13.25
Josh Norris,Points,39.0,43.0,47.0
David Perron,Goals,12.75,15.0,18.0
David Perron,Assists,19.0,22.0,25.0
David Perron,Points,33.0,39.0,42.0
Ridley Greig,Goals,11.0,13.0,16.0
Ridley Greig,Assists,23.0,26.0,29.0
Ridley Greig,Points,35.0,39.0,43.0
Michael Amadio,Goals,13.0,16.0,19.0
Michael Amadio,Assists,14.0,17.0,19.0
Michael Amadio,Points,30.0,33.0,36.25
Zack MacEwen,Goals,4.75,6.0,8.0
Zack MacEwen,Assists,7.0,9.0,10.0
Zack MacEwen,Points,12.0,14.5,17.25
Noah Gregor,Goals,3.0,4.0,6.0
Noah Gregor,Assists,10.0,12.0,14.0
Noah Gregor,Points,14.0,16.0,18.0
Nick Cousins,Goals,5.0,6.0,8.0
Nick Cousins,Assists,7.0,9.0,11.0
Nick Cousins,Points,13.0,16.0,18.0
Jake Sanderson,Goals,5.0,6.0,8.0
Jake Sanderson,Assists,19.0,22.0,26.0
Jake Sanderson,Points,25.0,29.0,33.0
Thomas Chabot,Goals,6.0,8.0,10.25
Thomas Chabot,Assists,16.0,20.0,23.25
Thomas Chabot,Points,24.0,28.0,31.0
Artem Zub,Goals,1.0,2.0,3.0
Artem Zub,Assists,15.0,16.0,20.0
Artem Zub,Points,16.0,18.0,22.0
Nick Jensen,Goals,1.0,2.0,3.0
Nick Jensen,Assists,19.0,22.0,25.0
Nick Jensen,Points,21.0,24.0,27.0
Travis Hamonic,Goals,0.0,1.0,2.0
Travis Hamonic,Assists,6.0,8.0,10.0
Travis Hamonic,Points,7.75,9.0,11.0
Jacob Bernard-Docker,Goals,0.0,1.0,2.0
Jacob Bernard-Docker,Assists,5.0,6.5,8.0
Jacob Bernard-Docker,Points,6.0,8.0,10.0
Nikita Kucherov,Goals,31.75,37.0,41.0
Nikita Kucherov,Assists,45.75,49.0,53.0
Nikita Kucherov,Points,79.75,86.5,92.25
Brayden Point,Goals,39.75,44.5,49.0
Brayden Point,Assists,32.0,36.0,40.0
Brayden Point,Points,76.0,81.0,87.0
Jake Guentzel,Goals,18.0,21.0,24.0
Jake Guentzel,Assists,41.75,45.0,50.0
Jake Guentzel,Points,60.0,68.0,72.0
Brandon Hagel,Goals,20.0,23.0,26.0
Brandon Hagel,Assists,29.0,34.0,37.25
Brandon Hagel,Points,51.75,57.0,62.0
Anthony Cirelli,Goals,17.0,19.5,22.0
Anthony Cirelli,Assists,26.0,29.5,32.25
Anthony Cirelli,Points,45.0,49.0,53.0
Nicholas Paul,Goals,19.0,22.0,25.0
Nicholas Paul,Assists,14.0,17.0,19.0
Nicholas Paul,Points,35.0,40.0,44.25
Conor Sheary,Goals,10.0,11.0,13.0
Conor Sheary,Assists,22.0,24.0,26.0
Conor Sheary,Points,32.0,35.0,39.0
Mikey Eyssimont,Goals,5.0,8.0,10.0
Mikey Eyssimont,Assists,15.0,17.0,20.0
Mikey Eyssimont,Points,22.0,25.0,29.0
Cam Atkinson,Goals,6.0,7.0,10.0
Cam Atkinson,Assists,16.0,19.0,22.0
Cam Atkinson,Points,23.0,26.0,30.0
Zemgus Girgensons,Goals,7.0,9.0,11.0
Zemgus Girgensons,Assists,5.0,6.0,8.0
Zemgus Girgensons,Points,13.0,15.5,18.0
Luke Glendening,Goals,5.0,7.0,9.0
Luke Glendening,Assists,4.0,5.0,7.0
Luke Glendening,Points,10.0,12.0,15.0
Mitchell Chaffee,Goals,8.75,10.0,12.0
Mitchell Chaffee,Assists,5.0,6.0,8.0
Mitchell Chaffee,Points,14.75,17.0,19.0
Victor Hedman,Goals,14.0,16.0,19.0
Victor Hedman,Assists,35.0,42.0,47.0
Victor Hedman,Points,51.75,58.0,63.0
Erik Cernak,Goals,3.0,4.0,6.0
Erik Cernak,Assists,17.0,20.0,23.0
Erik Cernak,Points,21.75,25.0,28.0
Ryan McDonagh,Goals,1.0,1.0,3.0
Ryan McDonagh,Assists,18.0,22.0,24.0
Ryan McDonagh,Points,19.0,23.0,26.0
Darren Raddysh,Goals,1.0,3.0,4.0
Darren Raddysh,Assists,10.0,12.0,14.0
Darren Raddysh,Points,12.0,15.0,17.25
JJ Moser,Goals,0.75,1.0,2.0
JJ Moser,Assists,11.0,13.0,16.0
JJ Moser,Points,12.0,14.0,18.0
Nick Perbix,Goals,0.0,1.0,2.0
Nick Perbix,Assists,10.0,13.0,16.0
Nick Perbix,Points,11.75,14.0,17.0
Auston Matthews,Goals,45.0,48.5,54.0
Auston Matthews,Assists,34.0,39.0,42.25
Auston Matthews,Points,82.0,88.0,95.0
William Nylander,Goals,30.0,34.0,38.25
William Nylander,Assists,34.0,37.0,42.0
William Nylander,Points,66.0,72.5,79.0
Mitch Marner,Goals,30.0,34.0,37.0
Mitch Marner,Assists,45.0,50.0,54.0
Mitch Marner,Points,77.0,85.0,90.0
John Tavares,Goals,18.0,20.0,23.25
John Tavares,Assists,25.0,28.0,32.0
John Tavares,Points,44.0,49.0,54.0
Matthew Knies,Goals,17.0,20.0,23.0
Matthew Knies,Assists,25.0,29.0,32.0
Matthew Knies,Points,44.0,49.0,54.25
Max Domi,Goals,11.0,13.0,16.0
Max Domi,Assists,37.0,42.0,45.0
Max Domi,Points,49.0,56.0,59.0
Nicholas Robertson,Goals,13.0,15.0,18.25
Nicholas Robertson,Assists,19.0,21.5,24.0
Nicholas Robertson,Points,33.0,37.5,40.0
Max Pacioretty,Goals,10.0,12.0,14.0
Max Pacioretty,Assists,17.0,20.0,23.0
Max Pacioretty,Points,29.0,32.5,35.0
Pontus Holmberg,Goals,10.0,12.0,15.0
Pontus Holmberg,Assists,18.75,22.0,26.0
Pontus Holmberg,Points,29.0,34.0,39.0
David Kampf,Goals,6.0,8.0,10.0
David Kampf,Assists,6.0,8.5,9.25
David Kampf,Points,13.0,16.0,18.0
Connor Dewar,Goals,5.0,7.0,9.0
Connor Dewar,Assists,7.0,10.0,12.0
Connor Dewar,Points,14.0,17.0,19.0
Bobby McMann,Goals,8.0,10.0,12.0
Bobby McMann,Assists,6.0,8.0,10.0
Bobby McMann,Points,16.0,18.5,21.0
Ryan Reaves,Goals,0.0,1.0,1.0
Ryan Reaves,Assists,1.0,1.0,2.0
Ryan Reaves,Points,1.0,2.0,3.0
Steven Lorentz,Goals,0.0,0.0,1.0
Steven Lorentz,Assists,0.75,1.0,2.0
Steven Lorentz,Points,1.0,2.0,3.0
Calle Jarnkrok,Goals,1.0,1.0,2.0
Calle Jarnkrok,Assists,1.0,2.5,3.0
Calle Jarnkrok,Points,3.0,4.0,5.0
Morgan Rielly,Goals,7.75,10.0,12.0
Morgan Rielly,Assists,38.0,43.0,46.0
Morgan Rielly,Points,46.0,52.5,57.0
Chris Tanev,Goals,4.0,5.0,7.0
Chris Tanev,Assists,18.0,20.0,23.25
Chris Tanev,Points,22.0,26.0,29.0
Oliver Ekman-Larsson,Goals,2.0,3.0,4.0
Oliver Ekman-Larsson,Assists,15.0,18.0,21.0
Oliver Ekman-Larsson,Points,18.0,21.0,24.0
Jake McCabe,Goals,2.0,2.0,3.25
Jake McCabe,Assists,16.0,19.0,22.0
Jake McCabe,Points,18.75,22.0,25.0
Simon Benoit,Goals,0.0,1.0,1.0
Simon Benoit,Assists,3.0,4.0,5.0
Simon Benoit,Points,3.0,5.0,6.0
Timothy Liljgren,Goals,0.0,1.0,2.0
Timothy Liljgren,Assists,7.0,8.0,11.0
Timothy Liljgren,Points,7.0,10.0,12.0
Conor Timmins,Goals,0.0,1.0,2.0
Conor Timmins,Assists,2.0,3.0,4.0
Conor Timmins,Points,3.0,4.0,6.0
Sebastian Aho,Goals,2.0,19.5,45.0
Sebastian Aho,Assists,8.0,23.0,44.0
Sebastian Aho,Points,10.0,44.0,90.0
